region_id,district,state,year,month,rainfall_mm,temp_max,temp_min,humidity,solar_radiation
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,1,0.0,36.2,23.4,83.3,16.1
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,2,49.1,32.3,21.7,74.9,17.2
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,3,48.8,32.7,23.4,74.2,17.2
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,4,42.5,35.7,21.8,80.2,18.4
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,5,33.9,32.0,21.3,87.2,19.9
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,6,369.6,31.6,23.7,79.0,16.5
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,7,301.3,36.5,22.0,82.6,17.2
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,8,326.4,32.1,24.9,84.4,19.8
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,9,397.1,36.5,21.4,75.1,16.2
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,10,129.4,32.6,24.3,77.7,17.1
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,11,135.4,35.8,21.3,87.8,19.1
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,12,0.0,35.9,23.8,83.7,19.1
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,1,5.3,33.2,23.7,82.7,18.4
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,2,19.2,33.3,24.9,85.6,18.9
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,3,28.6,31.2,23.8,73.8,17.8
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,4,52.6,33.9,23.3,83.1,16.6
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,5,56.8,32.2,24.8,81.6,18.8
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,6,395.6,32.8,21.4,79.3,16.9
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,7,320.9,32.9,21.5,77.7,19.6
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,8,285.0,31.0,22.4,76.9,16.7
Thanjavur_Tamil_Nadu,Thanjavur,Tamil Nadu,2023,9,326.5,35.2,22.1,75.9,16.7
